日付け,終値,始値,高値,安値,変化率 %
2022年07月29日,"15,349.000","15,349.000","15,349.000","15,349.000",1.03%
2022年07月28日,"15,192.000","15,192.000","15,192.000","15,192.000",0.26%
2022年07月27日,"15,153.000","15,153.000","15,153.000","15,153.000",0.17%
2022年07月26日,"15,128.000","15,128.000","15,128.000","15,128.000",-0.22%
2022年07月25日,"15,161.000","15,161.000","15,161.000","15,161.000",-0.05%
2022年07月22日,"15,169.000","15,169.000","15,169.000","15,169.000",0.46%
2022年07月21日,"15,099.000","15,099.000","15,099.000","15,099.000",0.88%
2022年07月20日,"14,968.000","14,968.000","14,968.000","14,968.000",-0.05%
2022年07月19日,"14,976.000","14,976.000","14,976.000","14,976.000",1.01%
2022年07月15日,"14,826.000","14,826.000","14,826.000","14,826.000",-0.32%
2022年07月14日,"14,873.000","14,873.000","14,873.000","14,873.000",0.13%
2022年07月13日,"14,853.000","14,853.000","14,853.000","14,853.000",-0.06%
2022年07月12日,"14,862.000","14,862.000","14,862.000","14,862.000",0.07%
2022年07月11日,"14,851.000","14,851.000","14,851.000","14,851.000",1.06%
2022年07月08日,"14,695.000","14,695.000","14,695.000","14,695.000",-1.16%
2022年07月07日,"14,867.000","14,867.000","14,867.000","14,867.000",0.81%
2022年07月06日,"14,747.000","14,747.000","14,747.000","14,747.000",-0.82%
2022年07月05日,"14,869.000","14,869.000","14,869.000","14,869.000",0.19%
2022年07月04日,"14,841.000","14,841.000","14,841.000","14,841.000",1.21%
2022年07月01日,"14,664.000","14,664.000","14,664.000","14,664.000",-1.35%
2022年06月30日,"14,864.000","14,864.000","14,864.000","14,864.000",-0.37%
2022年06月29日,"14,919.000","14,919.000","14,919.000","14,919.000",0.51%
2022年06月28日,"14,843.000","14,843.000","14,843.000","14,843.000",1.62%
2022年06月27日,"14,606.000","14,606.000","14,606.000","14,606.000",1.21%
2022年06月24日,"14,432.000","14,432.000","14,432.000","14,432.000",0.26%
2022年06月23日,"14,394.000","14,394.000","14,394.000","14,394.000",0.15%
2022年06月22日,"14,372.000","14,372.000","14,372.000","14,372.000",-0.79%
2022年06月21日,"14,486.000","14,486.000","14,486.000","14,486.000",0.56%
2022年06月20日,"14,405.000","14,405.000","14,405.000","14,405.000",-0.94%
2022年06月17日,"14,541.000","14,541.000","14,541.000","14,541.000",0.30%
2022年06月16日,"14,497.000","14,497.000","14,497.000","14,497.000",1.56%
2022年06月15日,"14,274.000","14,274.000","14,274.000","14,274.000",-3.06%
2022年06月14日,"14,724.000","14,724.000","14,724.000","14,724.000",-2.49%
2022年06月13日,"15,100.000","15,100.000","15,100.000","15,100.000",-0.84%
2022年06月10日,"15,228.000","15,228.000","15,228.000","15,228.000",-0.79%
2022年06月09日,"15,350.000","15,350.000","15,350.000","15,350.000",0.27%
2022年06月08日,"15,309.000","15,309.000","15,309.000","15,309.000",0.22%
2022年06月07日,"15,276.000","15,276.000","15,276.000","15,276.000",0.20%
2022年06月06日,"15,246.000","15,246.000","15,246.000","15,246.000",0.18%
2022年06月03日,"15,219.000","15,219.000","15,219.000","15,219.000",-0.47%
2022年06月02日,"15,291.000","15,291.000","15,291.000","15,291.000",0.08%
2022年06月01日,"15,279.000","15,279.000","15,279.000","15,279.000",0.11%
2022年05月31日,"15,262.000","15,262.000","15,262.000","15,262.000",0.23%
2022年05月30日,"15,227.000","15,227.000","15,227.000","15,227.000",0.91%
2022年05月27日,"15,089.000","15,089.000","15,089.000","15,089.000",0.24%
2022年05月26日,"15,053.000","15,053.000","15,053.000","15,053.000",-0.50%
2022年05月25日,"15,129.000","15,129.000","15,129.000","15,129.000",1.37%
2022年05月24日,"14,925.000","14,925.000","14,925.000","14,925.000",-0.90%
2022年05月23日,"15,060.000","15,060.000","15,060.000","15,060.000",0.03%
2022年05月20日,"15,056.000","15,056.000","15,056.000","15,056.000",0.11%
2022年05月19日,"15,040.000","15,040.000","15,040.000","15,040.000",-0.30%
2022年05月18日,"15,085.000","15,085.000","15,085.000","15,085.000",0.58%
2022年05月17日,"14,998.000","14,998.000","14,998.000","14,998.000",0.72%
2022年05月16日,"14,891.000","14,891.000","14,891.000","14,891.000",-0.31%
2022年05月13日,"14,938.000","14,938.000","14,938.000","14,938.000",1.55%
2022年05月12日,"14,710.000","14,710.000","14,710.000","14,710.000",0.11%
