日付け,終値,始値,高値,安値,変化率 %
2022年01月28日,"14,360.000","14,360.000","14,360.000","14,360.000",2.36%
2022年01月27日,"14,029.000","14,029.000","14,029.000","14,029.000",-2.85%
2022年01月26日,"14,441.000","14,441.000","14,441.000","14,441.000",-0.64%
2022年01月25日,"14,534.000","14,534.000","14,534.000","14,534.000",-1.64%
2022年01月24日,"14,776.000","14,776.000","14,776.000","14,776.000",0.49%
2022年01月21日,"14,704.000","14,704.000","14,704.000","14,704.000",-1.24%
2022年01月20日,"14,889.000","14,889.000","14,889.000","14,889.000",1.24%
2022年01月19日,"14,706.000","14,706.000","14,706.000","14,706.000",-3.00%
2022年01月18日,"15,161.000","15,161.000","15,161.000","15,161.000",-0.67%
2022年01月17日,"15,263.000","15,263.000","15,263.000","15,263.000",0.49%
2022年01月14日,"15,189.000","15,189.000","15,189.000","15,189.000",-1.87%
2022年01月13日,"15,479.000","15,479.000","15,479.000","15,479.000",-1.27%
2022年01月12日,"15,678.000","15,678.000","15,678.000","15,678.000",2.19%
2022年01月11日,"15,342.000","15,342.000","15,342.000","15,342.000",-0.62%
2022年01月07日,"15,437.000","15,437.000","15,437.000","15,437.000",0.03%
2022年01月06日,"15,433.000","15,433.000","15,433.000","15,433.000",-2.89%
2022年01月05日,"15,892.000","15,892.000","15,892.000","15,892.000",-0.10%
2022年01月04日,"15,908.000","15,908.000","15,908.000","15,908.000",1.54%
2021年12月30日,"15,667.000","15,667.000","15,667.000","15,667.000",-0.40%
2021年12月29日,"15,730.000","15,730.000","15,730.000","15,730.000",-0.32%
2021年12月28日,"15,781.000","15,781.000","15,781.000","15,781.000",1.51%
2021年12月27日,"15,546.000","15,546.000","15,546.000","15,546.000",-0.44%
2021年12月24日,"15,614.000","15,614.000","15,614.000","15,614.000",0.13%
2021年12月23日,"15,594.000","15,594.000","15,594.000","15,594.000",0.81%
2021年12月22日,"15,469.000","15,469.000","15,469.000","15,469.000",0.05%
2021年12月21日,"15,461.000","15,461.000","15,461.000","15,461.000",1.81%
2021年12月20日,"15,186.000","15,186.000","15,186.000","15,186.000",-2.30%
2021年12月17日,"15,543.000","15,543.000","15,543.000","15,543.000",-1.83%
2021年12月16日,"15,832.000","15,832.000","15,832.000","15,832.000",1.25%
2021年12月15日,"15,637.000","15,637.000","15,637.000","15,637.000",0.42%
2021年12月14日,"15,571.000","15,571.000","15,571.000","15,571.000",-0.21%
2021年12月13日,"15,603.000","15,603.000","15,603.000","15,603.000",0.07%
2021年12月10日,"15,592.000","15,592.000","15,592.000","15,592.000",-1.08%
2021年12月09日,"15,763.000","15,763.000","15,763.000","15,763.000",-0.76%
2021年12月08日,"15,883.000","15,883.000","15,883.000","15,883.000",0.72%
2021年12月07日,"15,770.000","15,770.000","15,770.000","15,770.000",2.20%
2021年12月06日,"15,431.000","15,431.000","15,431.000","15,431.000",-0.34%
2021年12月03日,"15,484.000","15,484.000","15,484.000","15,484.000",1.66%
2021年12月02日,"15,231.000","15,231.000","15,231.000","15,231.000",-0.79%
2021年12月01日,"15,352.000","15,352.000","15,352.000","15,352.000",0.66%
2021年11月30日,"15,251.000","15,251.000","15,251.000","15,251.000",-0.92%
2021年11月29日,"15,392.000","15,392.000","15,392.000","15,392.000",-2.18%
2021年11月26日,"15,735.000","15,735.000","15,735.000","15,735.000",-2.09%
2021年11月25日,"16,071.000","16,071.000","16,071.000","16,071.000",0.42%
2021年11月24日,"16,004.000","16,004.000","16,004.000","16,004.000",-1.27%
2021年11月22日,"16,210.000","16,210.000","16,210.000","16,210.000",-0.41%
2021年11月19日,"16,276.000","16,276.000","16,276.000","16,276.000",1.04%
2021年11月18日,"16,108.000","16,108.000","16,108.000","16,108.000",0.02%
2021年11月17日,"16,104.000","16,104.000","16,104.000","16,104.000",-0.81%
2021年11月16日,"16,236.000","16,236.000","16,236.000","16,236.000",-0.42%
2021年11月15日,"16,305.000","16,305.000","16,305.000","16,305.000",0.56%
2021年11月12日,"16,214.000","16,214.000","16,214.000","16,214.000",1.75%
2021年11月11日,"15,935.000","15,935.000","15,935.000","15,935.000",-0.08%
2021年11月10日,"15,948.000","15,948.000","15,948.000","15,948.000",-0.29%
2021年11月09日,"15,995.000","15,995.000","15,995.000","15,995.000",-0.48%
2021年11月08日,"16,072.000","16,072.000","16,072.000","16,072.000",-0.77%
2021年11月05日,"16,196.000","16,196.000","16,196.000","16,196.000",-0.41%
2021年11月04日,"16,263.000","16,263.000","16,263.000","16,263.000",1.52%
2021年11月02日,"16,020.000","16,020.000","16,020.000","16,020.000",-0.90%
2021年11月01日,"16,165.000","16,165.000","16,165.000","16,165.000",1.96%
2021年10月29日,"15,854.000","15,854.000","15,854.000","15,854.000",-0.41%
2021年10月28日,"15,920.000","15,920.000","15,920.000","15,920.000",-0.26%
2021年10月27日,"15,962.000","15,962.000","15,962.000","15,962.000",0.54%
2021年10月26日,"15,876.000","15,876.000","15,876.000","15,876.000",1.10%
2021年10月25日,"15,704.000","15,704.000","15,704.000","15,704.000",-0.17%
2021年10月22日,"15,731.000","15,731.000","15,731.000","15,731.000",-0.04%
2021年10月21日,"15,737.000","15,737.000","15,737.000","15,737.000",-1.24%
2021年10月20日,"15,934.000","15,934.000","15,934.000","15,934.000",-0.47%
2021年10月19日,"16,010.000","16,010.000","16,010.000","16,010.000",0.39%
2021年10月18日,"15,948.000","15,948.000","15,948.000","15,948.000",-0.60%
2021年10月15日,"16,045.000","16,045.000","16,045.000","16,045.000",1.80%
2021年10月14日,"15,762.000","15,762.000","15,762.000","15,762.000",0.92%
2021年10月13日,"15,618.000","15,618.000","15,618.000","15,618.000",-0.06%
2021年10月12日,"15,628.000","15,628.000","15,628.000","15,628.000",-0.77%
2021年10月11日,"15,749.000","15,749.000","15,749.000","15,749.000",1.89%
2021年10月08日,"15,457.000","15,457.000","15,457.000","15,457.000",1.21%
2021年10月07日,"15,272.000","15,272.000","15,272.000","15,272.000",0.16%
2021年10月06日,"15,248.000","15,248.000","15,248.000","15,248.000",-1.12%
2021年10月05日,"15,421.000","15,421.000","15,421.000","15,421.000",-1.99%
2021年10月04日,"15,734.000","15,734.000","15,734.000","15,734.000",-0.93%
2021年10月01日,"15,882.000","15,882.000","15,882.000","15,882.000",-2.12%
2021年09月30日,"16,226.000","16,226.000","16,226.000","16,226.000",0.11%
2021年09月29日,"16,208.000","16,208.000","16,208.000","16,208.000",-1.15%
2021年09月28日,"16,396.000","16,396.000","16,396.000","16,396.000",-0.90%
2021年09月27日,"16,545.000","16,545.000","16,545.000","16,545.000",-0.40%
2021年09月24日,"16,612.000","16,612.000","16,612.000","16,612.000",2.00%
2021年09月22日,"16,287.000","16,287.000","16,287.000","16,287.000",-0.80%
2021年09月21日,"16,419.000","16,419.000","16,419.000","16,419.000",-1.49%
2021年09月17日,"16,668.000","16,668.000","16,668.000","16,668.000",0.78%
2021年09月16日,"16,539.000","16,539.000","16,539.000","16,539.000",-0.77%
2021年09月15日,"16,667.000","16,667.000","16,667.000","16,667.000",-1.25%
2021年09月14日,"16,878.000","16,878.000","16,878.000","16,878.000",1.24%
2021年09月13日,"16,671.000","16,671.000","16,671.000","16,671.000",0.14%
2021年09月10日,"16,647.000","16,647.000","16,647.000","16,647.000",1.18%
2021年09月09日,"16,453.000","16,453.000","16,453.000","16,453.000",-0.43%
2021年09月08日,"16,524.000","16,524.000","16,524.000","16,524.000",0.56%
2021年09月07日,"16,432.000","16,432.000","16,432.000","16,432.000",0.84%
2021年09月06日,"16,295.000","16,295.000","16,295.000","16,295.000",1.43%
2021年09月03日,"16,066.000","16,066.000","16,066.000","16,066.000",1.44%
2021年09月02日,"15,838.000","15,838.000","15,838.000","15,838.000",0.44%
2021年09月01日,"15,768.000","15,768.000","15,768.000","15,768.000",1.19%
2021年08月31日,"15,583.000","15,583.000","15,583.000","15,583.000",1.18%
2021年08月30日,"15,402.000","15,402.000","15,402.000","15,402.000",1.07%
2021年08月27日,"15,239.000","15,239.000","15,239.000","15,239.000",-0.42%
2021年08月26日,"15,303.000","15,303.000","15,303.000","15,303.000",-0.23%
2021年08月25日,"15,339.000","15,339.000","15,339.000","15,339.000",0.12%
2021年08月24日,"15,321.000","15,321.000","15,321.000","15,321.000",1.37%
2021年08月23日,"15,114.000","15,114.000","15,114.000","15,114.000",1.78%
2021年08月20日,"14,849.000","14,849.000","14,849.000","14,849.000",-0.65%
2021年08月19日,"14,946.000","14,946.000","14,946.000","14,946.000",-0.49%
2021年08月18日,"15,019.000","15,019.000","15,019.000","15,019.000",0.59%
2021年08月17日,"14,931.000","14,931.000","14,931.000","14,931.000",-0.38%
2021年08月16日,"14,988.000","14,988.000","14,988.000","14,988.000",-0.95%
2021年08月13日,"15,132.000","15,132.000","15,132.000","15,132.000",-0.47%
2021年08月12日,"15,204.000","15,204.000","15,204.000","15,204.000",0.18%
2021年08月11日,"15,176.000","15,176.000","15,176.000","15,176.000",0.29%
2021年08月10日,"15,132.000","15,132.000","15,132.000","15,132.000",0.58%
2021年08月06日,"15,045.000","15,045.000","15,045.000","15,045.000",0.03%
2021年08月05日,"15,040.000","15,040.000","15,040.000","15,040.000",-0.05%
2021年08月04日,"15,048.000","15,048.000","15,048.000","15,048.000",-0.84%
2021年08月03日,"15,176.000","15,176.000","15,176.000","15,176.000",-0.14%
2021年08月02日,"15,198.000","15,198.000","15,198.000","15,198.000",1.58%
2021年07月30日,"14,961.000","14,961.000","14,961.000","14,961.000",-1.39%
2021年07月29日,"15,172.000","15,172.000","15,172.000","15,172.000",-0.24%
2021年07月28日,"15,209.000","15,209.000","15,209.000","15,209.000",-1.01%
2021年07月27日,"15,364.000","15,364.000","15,364.000","15,364.000",0.80%
2021年07月26日,"15,242.000","15,242.000","15,242.000","15,242.000",0.92%
2021年07月21日,"15,103.000","15,103.000","15,103.000","15,103.000",-3.50%
2021年07月20日,"15,651.000","15,651.000","15,651.000","15,651.000",-0.96%
2021年07月19日,"15,802.000","15,802.000","15,802.000","15,802.000",-1.59%
2021年07月16日,"16,058.000","16,058.000","16,058.000","16,058.000",-0.48%
2021年07月15日,"16,136.000","16,136.000","16,136.000","16,136.000",-1.09%
2021年07月14日,"16,314.000","16,314.000","16,314.000","16,314.000",-0.46%
2021年07月13日,"16,390.000","16,390.000","16,390.000","16,390.000",0.68%
2021年07月12日,"16,280.000","16,280.000","16,280.000","16,280.000",1.76%
2021年07月09日,"15,999.000","15,999.000","15,999.000","15,999.000",-0.59%
2021年07月08日,"16,094.000","16,094.000","16,094.000","16,094.000",-1.03%
2021年07月07日,"16,261.000","16,261.000","16,261.000","16,261.000",-0.87%
2021年07月06日,"16,404.000","16,404.000","16,404.000","16,404.000",0.01%
2021年07月05日,"16,402.000","16,402.000","16,402.000","16,402.000",-0.01%
2021年07月02日,"16,403.000","16,403.000","16,403.000","16,403.000",0.68%
2021年07月01日,"16,293.000","16,293.000","16,293.000","16,293.000",-0.59%
2021年06月30日,"16,389.000","16,389.000","16,389.000","16,389.000",0.37%
2021年06月29日,"16,329.000","16,329.000","16,329.000","16,329.000",-0.14%
2021年06月28日,"16,352.000","16,352.000","16,352.000","16,352.000",0.05%
2021年06月25日,"16,344.000","16,344.000","16,344.000","16,344.000",0.55%
2021年06月24日,"16,254.000","16,254.000","16,254.000","16,254.000",-0.34%
2021年06月23日,"16,309.000","16,309.000","16,309.000","16,309.000",0.20%
2021年06月22日,"16,277.000","16,277.000","16,277.000","16,277.000",2.62%
2021年06月21日,"15,861.000","15,861.000","15,861.000","15,861.000",-2.29%
2021年06月18日,"16,233.000","16,233.000","16,233.000","16,233.000",-0.58%
2021年06月17日,"16,327.000","16,327.000","16,327.000","16,327.000",-0.57%
2021年06月16日,"16,420.000","16,420.000","16,420.000","16,420.000",0.20%
2021年06月15日,"16,388.000","16,388.000","16,388.000","16,388.000",0.27%
2021年06月14日,"16,344.000","16,344.000","16,344.000","16,344.000",0.76%
2021年06月11日,"16,221.000","16,221.000","16,221.000","16,221.000",0.12%
2021年06月10日,"16,202.000","16,202.000","16,202.000","16,202.000",0.07%
2021年06月09日,"16,191.000","16,191.000","16,191.000","16,191.000",-0.29%
2021年06月08日,"16,238.000","16,238.000","16,238.000","16,238.000",0.27%
2021年06月07日,"16,194.000","16,194.000","16,194.000","16,194.000",0.15%
2021年06月04日,"16,170.000","16,170.000","16,170.000","16,170.000",-0.26%
2021年06月03日,"16,212.000","16,212.000","16,212.000","16,212.000",0.04%
2021年06月02日,"16,206.000","16,206.000","16,206.000","16,206.000",0.70%
2021年06月01日,"16,093.000","16,093.000","16,093.000","16,093.000",-0.02%
2021年05月31日,"16,096.000","16,096.000","16,096.000","16,096.000",-0.76%
2021年05月28日,"16,220.000","16,220.000","16,220.000","16,220.000",1.08%
2021年05月27日,"16,046.000","16,046.000","16,046.000","16,046.000",-0.47%
2021年05月26日,"16,122.000","16,122.000","16,122.000","16,122.000",-0.02%
2021年05月25日,"16,125.000","16,125.000","16,125.000","16,125.000",-0.01%
2021年05月24日,"16,127.000","16,127.000","16,127.000","16,127.000",0.49%
2021年05月21日,"16,049.000","16,049.000","16,049.000","16,049.000",0.68%
2021年05月20日,"15,940.000","15,940.000","15,940.000","15,940.000",-0.47%
2021年05月19日,"16,016.000","16,016.000","16,016.000","16,016.000",-0.66%
2021年05月18日,"16,123.000","16,123.000","16,123.000","16,123.000",1.45%
2021年05月17日,"15,893.000","15,893.000","15,893.000","15,893.000",-1.12%
2021年05月14日,"16,073.000","16,073.000","16,073.000","16,073.000",1.91%
2021年05月13日,"15,772.000","15,772.000","15,772.000","15,772.000",-2.21%
2021年05月12日,"16,128.000","16,128.000","16,128.000","16,128.000",-2.40%
2021年05月11日,"16,525.000","16,525.000","16,525.000","16,525.000",-2.39%
2021年05月10日,"16,929.000","16,929.000","16,929.000","16,929.000",0.43%
2021年05月07日,"16,856.000","16,856.000","16,856.000","16,856.000",0.48%
2021年05月06日,"16,775.000","16,775.000","16,775.000","16,775.000",0.38%
2021年04月30日,"16,712.000","16,712.000","16,712.000","16,712.000",-0.62%
2021年04月28日,"16,817.000","16,817.000","16,817.000","16,817.000",-0.04%
2021年04月27日,"16,823.000","16,823.000","16,823.000","16,823.000",-0.78%
2021年04月26日,"16,956.000","16,956.000","16,956.000","16,956.000",0.11%
2021年04月23日,"16,937.000","16,937.000","16,937.000","16,937.000",-0.85%
2021年04月22日,"17,082.000","17,082.000","17,082.000","17,082.000",2.27%
2021年04月21日,"16,703.000","16,703.000","16,703.000","16,703.000",-2.06%
2021年04月20日,"17,054.000","17,054.000","17,054.000","17,054.000",-1.43%
2021年04月19日,"17,301.000","17,301.000","17,301.000","17,301.000",0.57%
2021年04月16日,"17,203.000","17,203.000","17,203.000","17,203.000",0.62%
2021年04月15日,"17,097.000","17,097.000","17,097.000","17,097.000",-0.30%
2021年04月14日,"17,149.000","17,149.000","17,149.000","17,149.000",-0.24%
2021年04月13日,"17,191.000","17,191.000","17,191.000","17,191.000",0.30%
2021年04月12日,"17,140.000","17,140.000","17,140.000","17,140.000",-0.44%
2021年04月09日,"17,215.000","17,215.000","17,215.000","17,215.000",0.16%
2021年04月08日,"17,188.000","17,188.000","17,188.000","17,188.000",-0.68%
2021年04月07日,"17,306.000","17,306.000","17,306.000","17,306.000",1.30%
2021年04月06日,"17,084.000","17,084.000","17,084.000","17,084.000",-1.17%
2021年04月05日,"17,286.000","17,286.000","17,286.000","17,286.000",0.67%
2021年04月02日,"17,171.000","17,171.000","17,171.000","17,171.000",0.97%
2021年04月01日,"17,006.000","17,006.000","17,006.000","17,006.000",0.71%
2021年03月31日,"16,886.000","16,886.000","16,886.000","16,886.000",-0.33%
2021年03月30日,"16,942.000","16,942.000","16,942.000","16,942.000",0.59%
2021年03月29日,"16,843.000","16,843.000","16,843.000","16,843.000",0.05%
2021年03月26日,"16,835.000","16,835.000","16,835.000","16,835.000",1.32%
2021年03月25日,"16,615.000","16,615.000","16,615.000","16,615.000",1.16%
2021年03月24日,"16,424.000","16,424.000","16,424.000","16,424.000",-2.13%
2021年03月23日,"16,781.000","16,781.000","16,781.000","16,781.000",-1.25%
2021年03月22日,"16,993.000","16,993.000","16,993.000","16,993.000",-0.45%
2021年03月19日,"17,069.000","17,069.000","17,069.000","17,069.000",0.08%
2021年03月18日,"17,056.000","17,056.000","17,056.000","17,056.000",1.02%
2021年03月17日,"16,883.000","16,883.000","16,883.000","16,883.000",0.54%
2021年03月16日,"16,792.000","16,792.000","16,792.000","16,792.000",0.94%
2021年03月15日,"16,636.000","16,636.000","16,636.000","16,636.000",0.50%
2021年03月12日,"16,554.000","16,554.000","16,554.000","16,554.000",1.71%
2021年03月11日,"16,275.000","16,275.000","16,275.000","16,275.000",1.28%
2021年03月10日,"16,069.000","16,069.000","16,069.000","16,069.000",0.19%
2021年03月09日,"16,039.000","16,039.000","16,039.000","16,039.000",0.78%
2021年03月08日,"15,915.000","15,915.000","15,915.000","15,915.000",-0.20%
2021年03月05日,"15,947.000","15,947.000","15,947.000","15,947.000",-0.10%
2021年03月04日,"15,963.000","15,963.000","15,963.000","15,963.000",-0.89%
2021年03月03日,"16,106.000","16,106.000","16,106.000","16,106.000",0.11%
2021年03月02日,"16,088.000","16,088.000","16,088.000","16,088.000",-0.43%
2021年03月01日,"16,158.000","16,158.000","16,158.000","16,158.000",1.81%
2021年02月26日,"15,870.000","15,870.000","15,870.000","15,870.000",-2.43%
2021年02月25日,"16,265.000","16,265.000","16,265.000","16,265.000",0.89%
2021年02月24日,"16,122.000","16,122.000","16,122.000","16,122.000",-2.25%
2021年02月22日,"16,493.000","16,493.000","16,493.000","16,493.000",1.02%
2021年02月19日,"16,327.000","16,327.000","16,327.000","16,327.000",-0.47%
2021年02月18日,"16,404.000","16,404.000","16,404.000","16,404.000",-1.78%
2021年02月17日,"16,701.000","16,701.000","16,701.000","16,701.000",-0.19%
2021年02月16日,"16,733.000","16,733.000","16,733.000","16,733.000",0.07%
2021年02月15日,"16,722.000","16,722.000","16,722.000","16,722.000",-0.37%
2021年02月12日,"16,784.000","16,784.000","16,784.000","16,784.000",-0.17%
2021年02月10日,"16,812.000","16,812.000","16,812.000","16,812.000",-0.16%
2021年02月09日,"16,839.000","16,839.000","16,839.000","16,839.000",0.05%
2021年02月08日,"16,831.000","16,831.000","16,831.000","16,831.000",0.52%
2021年02月05日,"16,744.000","16,744.000","16,744.000","16,744.000",0.48%
