日付け,終値,始値,高値,安値,変化率 %
2022年07月29日,"14,269.000","14,269.000","14,269.000","14,269.000",-0.37%
2022年07月28日,"14,322.000","14,322.000","14,322.000","14,322.000",0.49%
2022年07月27日,"14,252.000","14,252.000","14,252.000","14,252.000",0.37%
2022年07月26日,"14,200.000","14,200.000","14,200.000","14,200.000",-0.09%
2022年07月25日,"14,213.000","14,213.000","14,213.000","14,213.000",-0.73%
2022年07月22日,"14,318.000","14,318.000","14,318.000","14,318.000",0.30%
2022年07月21日,"14,275.000","14,275.000","14,275.000","14,275.000",-0.08%
2022年07月20日,"14,287.000","14,287.000","14,287.000","14,287.000",2.40%
2022年07月19日,"13,952.000","13,952.000","13,952.000","13,952.000",0.79%
2022年07月15日,"13,843.000","13,843.000","13,843.000","13,843.000",-0.22%
2022年07月14日,"13,873.000","13,873.000","13,873.000","13,873.000",0.46%
2022年07月13日,"13,809.000","13,809.000","13,809.000","13,809.000",-0.06%
2022年07月12日,"13,817.000","13,817.000","13,817.000","13,817.000",-1.48%
2022年07月11日,"14,025.000","14,025.000","14,025.000","14,025.000",1.04%
2022年07月08日,"13,881.000","13,881.000","13,881.000","13,881.000",0.53%
2022年07月07日,"13,808.000","13,808.000","13,808.000","13,808.000",1.19%
2022年07月06日,"13,645.000","13,645.000","13,645.000","13,645.000",-1.52%
2022年07月05日,"13,855.000","13,855.000","13,855.000","13,855.000",0.45%
2022年07月04日,"13,793.000","13,793.000","13,793.000","13,793.000",1.19%
2022年07月01日,"13,631.000","13,631.000","13,631.000","13,631.000",-2.07%
2022年06月30日,"13,919.000","13,919.000","13,919.000","13,919.000",-1.00%
2022年06月29日,"14,059.000","14,059.000","14,059.000","14,059.000",-0.31%
2022年06月28日,"14,103.000","14,103.000","14,103.000","14,103.000",0.87%
2022年06月27日,"13,981.000","13,981.000","13,981.000","13,981.000",1.11%
2022年06月24日,"13,828.000","13,828.000","13,828.000","13,828.000",1.46%
2022年06月23日,"13,629.000","13,629.000","13,629.000","13,629.000",-0.04%
2022年06月22日,"13,634.000","13,634.000","13,634.000","13,634.000",-0.76%
2022年06月21日,"13,738.000","13,738.000","13,738.000","13,738.000",2.04%
2022年06月20日,"13,464.000","13,464.000","13,464.000","13,464.000",-1.42%
2022年06月17日,"13,658.000","13,658.000","13,658.000","13,658.000",-1.80%
2022年06月16日,"13,909.000","13,909.000","13,909.000","13,909.000",0.95%
2022年06月15日,"13,778.000","13,778.000","13,778.000","13,778.000",-1.58%
2022年06月14日,"13,999.000","13,999.000","13,999.000","13,999.000",-1.19%
2022年06月13日,"14,167.000","14,167.000","14,167.000","14,167.000",-2.09%
2022年06月10日,"14,470.000","14,470.000","14,470.000","14,470.000",-0.82%
2022年06月09日,"14,589.000","14,589.000","14,589.000","14,589.000",-0.63%
2022年06月08日,"14,682.000","14,682.000","14,682.000","14,682.000",1.60%
2022年06月07日,"14,451.000","14,451.000","14,451.000","14,451.000",0.50%
2022年06月06日,"14,379.000","14,379.000","14,379.000","14,379.000",0.40%
2022年06月03日,"14,322.000","14,322.000","14,322.000","14,322.000",0.49%
2022年06月02日,"14,252.000","14,252.000","14,252.000","14,252.000",-0.57%
2022年06月01日,"14,334.000","14,334.000","14,334.000","14,334.000",1.21%
2022年05月31日,"14,163.000","14,163.000","14,163.000","14,163.000",-0.29%
2022年05月30日,"14,204.000","14,204.000","14,204.000","14,204.000",1.92%
2022年05月27日,"13,936.000","13,936.000","13,936.000","13,936.000",0.71%
2022年05月26日,"13,838.000","13,838.000","13,838.000","13,838.000",-0.03%
2022年05月25日,"13,842.000","13,842.000","13,842.000","13,842.000",-0.13%
2022年05月24日,"13,860.000","13,860.000","13,860.000","13,860.000",-0.61%
2022年05月23日,"13,945.000","13,945.000","13,945.000","13,945.000",0.86%
2022年05月20日,"13,826.000","13,826.000","13,826.000","13,826.000",0.94%
2022年05月19日,"13,697.000","13,697.000","13,697.000","13,697.000",-1.37%
2022年05月18日,"13,887.000","13,887.000","13,887.000","13,887.000",0.30%
2022年05月17日,"13,845.000","13,845.000","13,845.000","13,845.000",-0.13%
2022年05月16日,"13,863.000","13,863.000","13,863.000","13,863.000",-0.13%
2022年05月13日,"13,881.000","13,881.000","13,881.000","13,881.000",1.16%
2022年05月12日,"13,722.000","13,722.000","13,722.000","13,722.000",-0.57%
2022年05月11日,"13,801.000","13,801.000","13,801.000","13,801.000",0.28%
2022年05月10日,"13,762.000","13,762.000","13,762.000","13,762.000",-0.34%
2022年05月09日,"13,809.000","13,809.000","13,809.000","13,809.000",-1.65%
2022年05月06日,"14,040.000","14,040.000","14,040.000","14,040.000",0.85%
2022年05月02日,"13,921.000","13,921.000","13,921.000","13,921.000",-0.39%
2022年04月28日,"13,976.000","13,976.000","13,976.000","13,976.000",2.44%
2022年04月27日,"13,643.000","13,643.000","13,643.000","13,643.000",-0.84%
2022年04月26日,"13,758.000","13,758.000","13,758.000","13,758.000",-0.18%
2022年04月25日,"13,783.000","13,783.000","13,783.000","13,783.000",-1.08%
2022年04月22日,"13,933.000","13,933.000","13,933.000","13,933.000",-1.00%
2022年04月21日,"14,074.000","14,074.000","14,074.000","14,074.000",1.03%
2022年04月20日,"13,931.000","13,931.000","13,931.000","13,931.000",0.91%
2022年04月19日,"13,806.000","13,806.000","13,806.000","13,806.000",1.12%
2022年04月18日,"13,653.000","13,653.000","13,653.000","13,653.000",-0.82%
2022年04月15日,"13,766.000","13,766.000","13,766.000","13,766.000",-0.53%
2022年04月14日,"13,839.000","13,839.000","13,839.000","13,839.000",0.88%
2022年04月13日,"13,718.000","13,718.000","13,718.000","13,718.000",1.11%
2022年04月12日,"13,567.000","13,567.000","13,567.000","13,567.000",-2.12%
2022年04月11日,"13,861.000","13,861.000","13,861.000","13,861.000",-0.50%
2022年04月08日,"13,930.000","13,930.000","13,930.000","13,930.000",0.51%
2022年04月07日,"13,859.000","13,859.000","13,859.000","13,859.000",-1.24%
2022年04月06日,"14,033.000","14,033.000","14,033.000","14,033.000",-1.61%
2022年04月05日,"14,263.000","14,263.000","14,263.000","14,263.000",-0.54%
2022年04月04日,"14,340.000","14,340.000","14,340.000","14,340.000",0.43%
2022年04月01日,"14,279.000","14,279.000","14,279.000","14,279.000",-0.40%
2022年03月31日,"14,337.000","14,337.000","14,337.000","14,337.000",-1.20%
2022年03月30日,"14,511.000","14,511.000","14,511.000","14,511.000",0.17%
2022年03月29日,"14,487.000","14,487.000","14,487.000","14,487.000",0.64%
2022年03月28日,"14,395.000","14,395.000","14,395.000","14,395.000",-0.66%
2022年03月25日,"14,490.000","14,490.000","14,490.000","14,490.000",-0.09%
2022年03月24日,"14,503.000","14,503.000","14,503.000","14,503.000",-0.15%
2022年03月23日,"14,525.000","14,525.000","14,525.000","14,525.000",2.23%
2022年03月22日,"14,208.000","14,208.000","14,208.000","14,208.000",0.91%
2022年03月18日,"14,080.000","14,080.000","14,080.000","14,080.000",0.11%
2022年03月17日,"14,065.000","14,065.000","14,065.000","14,065.000",2.45%
2022年03月16日,"13,728.000","13,728.000","13,728.000","13,728.000",1.33%
2022年03月15日,"13,548.000","13,548.000","13,548.000","13,548.000",1.08%
2022年03月14日,"13,403.000","13,403.000","13,403.000","13,403.000",0.31%
2022年03月11日,"13,362.000","13,362.000","13,362.000","13,362.000",-1.65%
2022年03月10日,"13,586.000","13,586.000","13,586.000","13,586.000",4.27%
2022年03月09日,"13,030.000","13,030.000","13,030.000","13,030.000",-0.28%
2022年03月08日,"13,067.000","13,067.000","13,067.000","13,067.000",-1.29%
2022年03月07日,"13,238.000","13,238.000","13,238.000","13,238.000",-2.88%
2022年03月04日,"13,631.000","13,631.000","13,631.000","13,631.000",-2.30%
2022年03月03日,"13,952.000","13,952.000","13,952.000","13,952.000",0.95%
2022年03月02日,"13,821.000","13,821.000","13,821.000","13,821.000",-2.08%
2022年03月01日,"14,114.000","14,114.000","14,114.000","14,114.000",0.60%
2022年02月28日,"14,030.000","14,030.000","14,030.000","14,030.000",0.31%
2022年02月25日,"13,986.000","13,986.000","13,986.000","13,986.000",1.31%
2022年02月24日,"13,805.000","13,805.000","13,805.000","13,805.000",-0.85%
2022年02月22日,"13,924.000","13,924.000","13,924.000","13,924.000",-1.46%
2022年02月21日,"14,130.000","14,130.000","14,130.000","14,130.000",-0.84%
2022年02月18日,"14,249.000","14,249.000","14,249.000","14,249.000",-0.82%
2022年02月17日,"14,367.000","14,367.000","14,367.000","14,367.000",-0.77%
2022年02月16日,"14,478.000","14,478.000","14,478.000","14,478.000",1.68%
2022年02月15日,"14,239.000","14,239.000","14,239.000","14,239.000",-1.22%
2022年02月14日,"14,415.000","14,415.000","14,415.000","14,415.000",-1.21%
2022年02月10日,"14,592.000","14,592.000","14,592.000","14,592.000",0.56%
2022年02月09日,"14,511.000","14,511.000","14,511.000","14,511.000",1.14%
2022年02月08日,"14,347.000","14,347.000","14,347.000","14,347.000",-0.26%
2022年02月07日,"14,385.000","14,385.000","14,385.000","14,385.000",-0.75%
2022年02月04日,"14,494.000","14,494.000","14,494.000","14,494.000",0.49%
2022年02月03日,"14,424.000","14,424.000","14,424.000","14,424.000",-1.50%
2022年02月02日,"14,643.000","14,643.000","14,643.000","14,643.000",2.15%
2022年02月01日,"14,335.000","14,335.000","14,335.000","14,335.000",-1.15%
2022年01月31日,"14,502.000","14,502.000","14,502.000","14,502.000",0.99%
