日付け,終値,始値,高値,安値,変化率 %
2022年03月30日,"5,085.000","5,085.000","5,085.000","5,085.000",0.79%
2022年03月29日,"5,045.000","5,045.000","5,045.000","5,045.000",-0.08%
2022年03月28日,"5,049.000","5,049.000","5,049.000","5,049.000",-0.22%
2022年03月25日,"5,060.000","5,060.000","5,060.000","5,060.000",0.04%
2022年03月24日,"5,058.000","5,058.000","5,058.000","5,058.000",0.06%
2022年03月23日,"5,055.000","5,055.000","5,055.000","5,055.000",-0.28%
2022年03月22日,"5,069.000","5,069.000","5,069.000","5,069.000",-0.16%
2022年03月18日,"5,077.000","5,077.000","5,077.000","5,077.000",0.63%
2022年03月17日,"5,045.000","5,045.000","5,045.000","5,045.000",0.72%
2022年03月16日,"5,009.000","5,009.000","5,009.000","5,009.000",0.12%
2022年03月15日,"5,003.000","5,003.000","5,003.000","5,003.000",-1.01%
2022年03月14日,"5,054.000","5,054.000","5,054.000","5,054.000",-0.49%
2022年03月11日,"5,079.000","5,079.000","5,079.000","5,079.000",-0.45%
2022年03月10日,"5,102.000","5,102.000","5,102.000","5,102.000",0.18%
2022年03月09日,"5,093.000","5,093.000","5,093.000","5,093.000",-0.41%
2022年03月08日,"5,114.000","5,114.000","5,114.000","5,114.000",-0.53%
2022年03月07日,"5,141.000","5,141.000","5,141.000","5,141.000",-0.45%
2022年03月04日,"5,164.000","5,164.000","5,164.000","5,164.000",-0.08%
2022年03月03日,"5,168.000","5,168.000","5,168.000","5,168.000",0.00%
2022年03月02日,"5,168.000","5,168.000","5,168.000","5,168.000",0.06%
2022年03月01日,"5,165.000","5,165.000","5,165.000","5,165.000",0.12%
2022年02月28日,"5,159.000","5,159.000","5,159.000","5,159.000",0.82%
2022年02月25日,"5,117.000","5,117.000","5,117.000","5,117.000",-0.27%
2022年02月24日,"5,131.000","5,131.000","5,131.000","5,131.000",-0.08%
2022年02月22日,"5,135.000","5,135.000","5,135.000","5,135.000",0.00%
2022年02月21日,"5,135.000","5,135.000","5,135.000","5,135.000",-0.02%
2022年02月18日,"5,136.000","5,136.000","5,136.000","5,136.000",-0.08%
2022年02月17日,"5,140.000","5,140.000","5,140.000","5,140.000",0.19%
2022年02月16日,"5,130.000","5,130.000","5,130.000","5,130.000",0.20%
2022年02月15日,"5,120.000","5,120.000","5,120.000","5,120.000",-0.39%
2022年02月14日,"5,140.000","5,140.000","5,140.000","5,140.000",-1.42%
2022年02月10日,"5,214.000","5,214.000","5,214.000","5,214.000",0.33%
2022年02月09日,"5,197.000","5,197.000","5,197.000","5,197.000",-0.02%
2022年02月08日,"5,198.000","5,198.000","5,198.000","5,198.000",0.00%
2022年02月07日,"5,198.000","5,198.000","5,198.000","5,198.000",-0.59%
2022年02月04日,"5,229.000","5,229.000","5,229.000","5,229.000",-0.44%
